itemID,tagID,count
1,139,5
1,141,3
1,179,2
1,541,2
1,552,1
1,1219,1
1,2850,1
2,14,1
2,18,1
2,30,5
2,61,1
2,127,2
2,179,5
2,190,1
2,233,1
2,575,8
2,727,1
2,10137,1
3,4,3
3,2092,1
3,3706,2
3,4117,1
3,4122,1
3,8882,1
4,1,2
4,7,1
4,73,1
4,139,6
4,141,3
4,179,3
4,541,4
4,7561,1
4,9640,1
5,179,1
5,190,1
5,575,3
5,612,1
5,1097,1
6,4,4
6,7,6
6,82,4
6,127,1
6,179,1
6,190,1
6,191,1
6,233,1
6,285,1
6,524,1
6,713,1
6,793,1
6,1482,1
6,1484,1
6,7996,1
6,9640,1
7,1,25
7,2,3
7,6,15
7,7,1
7,56,1
7,61,23
7,72,2
7,73,18
7,78,2
7,79,9
7,80,1
7,127,1
7,176,2
7,177,1
7,178,1
7,179,1
7,184,2
7,189,3
7,190,2
7,191,1
7,210,1
7,216,4
7,232,1
7,233,1
7,234,1
7,238,1
7,285,1
7,306,1
7,352,1
7,370,2
7,386,2
7,481,1
7,524,1
7,543,1
7,555,1
7,610,1
7,623,1
7,737,1
7,793,1
7,797,1
7,804,1
7,810,1
7,850,4
7,1097,1
7,1513,1
7,1712,1
7,1983,1
7,1984,3
7,1985,1
7,2139,1
7,2371,1
7,2604,2
7,2755,1
7,3673,1
7,3882,1
7,3883,1
7,3890,1
7,4956,1
7,6253,1
7,6955,1
7,9823,1
7,10116,1
7,10213,1
7,10232,1
7,10875,1
7,10876,1
7,11222,1
7,11314,1
7,11757,1
7,12133,1
7,12134,1
7,12140,1
7,12209,1
8,1,4
8,73,1
8,138,1
8,139,8
8,141,4
8,233,1
8,364,1
8,541,3
8,552,1
8,1219,3
8,2155,1
9,9,1
9,12,1
9,18,1
9,61,10
9,86,8
9,127,2
9,309,1
9,562,1
9,563,1
9,565,3
9,570,1
9,571,1
9,572,1
9,576,1
9,577,1
9,580,1
9,595,1
9,597,1
9,1447,1
9,2794,1
9,3673,1
9,6763,1
10,10,1
10,18,2
10,61,4
10,86,9
10,385,1
10,563,1
